uai;nom_etablissement;code_postal;latitude;longitude;nombre_eleves_hors_segpa_ulis;total_filles;pourcentage_filles
0572488V;Collège La Carrière;57501;49.1013900027445;6.7195097563106785;513;277;53.99610136452241715400
0881145S;Collège Maurice Barrès;88130;48.36784764327686;6.2900766245311726;381;214;56.16797900262467191600
0880149J;Collège Saint-Exupéry;88025;48.185798720478864;6.456000415426163;346;180;52.02312138728323699400
0880045W;Collège Alphonse Cytère;88700;48.35301560900074;6.636642405074547;461;274;59.43600867678958785200
0880151L;Collège Vautrin Lud;88108;48.2965377650545;6.949055257801907;577;301;52.16637781629116117900
0881101U;Collège André Malraux;88210;48.39457538840429;6.975126001023535;262;140;53.43511450381679389300
0080068F;Collège Rouget-de-Lisle;08000;49.786787804752535;4.716599748207943;191;99;51.83246073298429319400
0080036W;Collège Jean Rogissart;08700;49.817827897579626;4.74591000737515;272;163;59.92647058823529411800
0080839U;Collège Pasteur;08330;49.73617300991933;4.857620152158673;292;185;63.35616438356164383600
0100787B;Collège Paul Langevin;10100;48.52134377125562;3.7278704281470656;581;273;46.98795180722891566300
0100905E;Collège le Noyer Marchand;10103;48.518326931336844;3.719370530973969;501;281;56.08782435129740519000
0672194W;Collège Nelson Mandela;67400;48.52084991896933;7.72096125009272;630;315;50.00000000000000000000
0671508A;Collège Jacques Twinger;67200;48.58077212720135;7.705390658437511;621;298;47.98711755233494363900
0680105V;Collège Kennedy;68200;47.74934637524457;7.333750586462343;585;310;52.99145299145299145300
0681961M;Collège Bel Air;68092;47.72996303769056;7.305630218908527;515;263;51.06796116504854368900
9710406P;Collège Germain Saint-Ruf;97130;16.04362725672896;-61.56454612175841;381;244;64.04199475065616797900
9710826W;Collège Saint-John-Perse;97139;16.24949786832079;-61.531639967733206;618;314;50.80906148867313915900
9710938T;Collège Aurélie Lambourde;97139;16.27198710583062;-61.502345644669006;674;335;49.70326409495548961400
9710073C;Collège Sadi Carnot;97155;16.238600422109922;-61.536243113957276;378;176;46.56084656084656084700
9710023Y;Collège Bébel;97115;16.324429988614693;-61.68850991138755;474;272;57.38396624472573839700
9711181G;Collège Bois Rada;97115;16.280690780790454;-61.67041044710481;427;194;45.43325526932084309100
9730020J;Collège Auxence Contout;97305;4.937997093332722;-52.32393839584209;881;479;54.37003405221339387100
9730083C;Collège Gérard Holder;97305;4.929788994800419;-52.31596507060845;1114;620;55.65529622980251346500
9730247F;Collège Justin Catayée (Cayenne V);97327;4.9176399313382335;-52.30855955893174;779;416;53.40179717586649550700
9730380A;Collège Achmat Kartadinama (Grand-Santi);97340;4.276021260911382;-54.38201971453933;484;282;58.26446280991735537200
9730483M;Collège Joseph Ho Ten You;97310;5.171398756618388;-52.658265990042075;424;242;57.07547169811320754700
9730206L;Collège Just Hyasine;97355;5.013046631785412;-52.478159667705064;750;374;49.86666666666666666700
9730373T;Collège Paule Berthelot;97360;5.60451614072497;-53.81686483676857;597;315;52.76381909547738693500
9730307W;Collège Concorde-Maurice Dumesnil;97351;4.8351327253277105;-52.35117007411128;877;539;61.45952109464082098100
9730381B;Collège Capitaine Charles Tafanier (Papaichton);97316;3.8129691227780143;-54.14644991383088;155;96;61.93548387096774193500
9730173A;Collège Chlore Constant;97313;3.8907540552420596;-51.80158020383675;627;359;57.25677830940988835700
9730110G;Collège Eugénie Tell-Eboué (Saint-Laurent I);97320;5.503966415464399;-54.027881321610295;873;503;57.61741122565864833900
9730348R;Collège Leodate Volmar;97393;5.4883689227103805;-54.03559174238066;847;434;51.23966942148760330600
0020075W;Collège Georges Cobast;02500;49.92307140960063;4.095099370679356;414;250;60.38647342995169082100
0020056A;Collège Marthe Lefèvre;02100;49.83675770982215;3.318949412019479;299;171;57.19063545150501672200
0020067M;Collège Condorcet;02140;49.83633842228259;3.913780610941681;350;194;55.42857142857142857100
0800019L;Collège César Franck;80000;49.91209371964029;2.3100044963253885;373;220;58.98123324396782841800
0801487G;Collège Alfred Manessier;80420;50.00954590065261;2.0762014443924333;256;124;48.43750000000000000000
0800036E;Collège Victor Hugo;80400;49.752911910562936;3.0783694797933276;395;262;66.32911392405063291100
0594301E;Collège Paul Eluard;59192;50.38544700442605;3.500880459857708;445;221;49.66292134831460674200
0593488W;Collège Lamartine;59407;50.158508690819055;3.263580630801944;470;267;56.80851063829787234000
0595175E;Collège Fénelon;59407;50.1757149656532;3.2289302757058485;491;260;52.95315682281059063100
0594295Y;Collège du Westhoek;59210;51.02609343403172;2.3948734187132454;140;68;48.57142857142857142900
0590068D;Collège Jules Ferry;59508;50.38175061469219;3.0610115023258024;621;302;48.63123993558776167500
0593252P;Collège Léo Lagrange;59611;50.021085726859674;4.050690661024452;319;179;56.11285266457680250800
0595782P;Collège du Moulin;59760;51.01131527401728;2.3041700698011334;312;167;53.52564102564102564100
0590131X;Collège Jean Jaurès;59160;50.64095215509568;3.0101893111682183;468;236;50.42735042735042735000
0594288R;Collège Louise Michel;59000;50.60615198731221;3.0462601560354328;419;194;46.30071599045346062100
0597004T;Collège Miriam Makeba;59000;50.61837243885932;3.064760509722426;480;259;53.95833333333333333300
0593660H;Collège René Descartes;59373;50.60889499400215;3.006710500148804;276;143;51.81159420289855072500
0593483R;Collège Robert Desnos;59176;50.342317608166105;3.200689310892901;427;199;46.60421545667447306800
0594362W;Collège Vauban;59602;50.274459245680944;3.941730398498145;486;256;52.67489711934156378600
0593178J;Collège François Rabelais;59370;50.641728868012265;3.1175204647683668;451;237;52.54988913525498891400
0594408W;Collège Germinal;59590;50.3955694812591;3.4816293075127525;368;205;55.70652173913043478300
0593667R;Collège Rosa Parks;59058;50.701429666195004;3.1864605337728373;527;311;59.01328273244781783700
0594634S;Collège Théodore Monod;59100;50.67211691461054;3.1825896596418874;338;186;55.02958579881656804700
0593185S;Collège Anatole France;59450;50.361329331555964;3.114949443162363;636;328;51.57232704402515723300
0592714E;Collège Pierre Mendès France;59203;50.736039039559365;3.1894893121105476;336;178;52.97619047619047619000
0593242D;Collège Gustave Nadaud;59150;50.70884740732559;3.1978302784174524;501;292;58.28343313373253493000
0622094P;Collège Jean Jaurès;62922;50.635453038636626;2.4006094467249137;616;306;49.67532467532467532500
0620198D;Collège Albert Camus;62700;50.47547424442204;2.558440656583557;407;217;53.31695331695331695300
0620079Z;Collège Henri Wallon;62460;50.47042647481198;2.4967699897743376;385;199;51.68831168831168831200
0622261W;Collège Pierre Cuallacci;62270;50.27639042933437;2.2847005068762374;320;187;58.43750000000000000000
0622791X;Collège Victor Hugo;62440;50.45054798315641;2.901050524240089;534;285;53.37078651685393258400
0622418S;Collège Jean Zay;62335;50.44273593059116;2.823900494132792;741;394;53.17139001349527665300
0620219B;Collège Danielle Darras Riaumont;62800;50.41874727709966;2.784470023003672;340;196;57.64705882352941176500
0622087G;Collège Blaise Pascal;62670;50.46164187069234;2.7194599930897345;457;237;51.85995623632385120400
0622262X;Collège Henri Wallon;62680;50.41020311287875;2.877100390185131;538;302;56.13382899628252788100
0622423X;Collège Youri Gagarine;62640;50.4310641266138;2.9319693624659204;325;170;52.30769230769230769200
0620154F;Collège Albert Camus;62230;50.70255080268576;1.5914034040436627;606;293;48.34983498349834983500
0620158K;Collège Paul Langevin;62320;50.40516019431543;2.905140015843999;561;288;51.33689839572192513400
0623014P;Collège Paul Verlaine;62223;50.3067041643579;2.794759744288523;690;355;51.44927536231884058000
0622907Y;Collège de la Morinie;62504;50.74773575087692;2.26844997765505;270;165;61.11111111111111111100
0620180J;Collège Léon Blum;62410;50.49557185372062;2.8643399654717037;513;287;55.94541910331384015600
0770019C;Collège Robert Doisneau;77196;48.51941410050584;2.6455786065829257;564;351;62.23404255319148936200
0771337K;Collège Elsa Triolet;77350;48.54492273740363;2.6352357143411234;717;368;51.32496513249651325000
0771567K;Collège Paul Eluard;77130;48.40066590235061;2.9685607084546386;621;352;56.68276972624798711800
0771621U;Collège Honoré de Balzac;77140;48.26261375641058;2.7145431882512923;338;189;55.91715976331360946700
0931184G;Collège Jean Moulin;93300;48.907908690020946;2.390350112040794;593;293;49.40978077571669477200
0931186J;Collège Denis Diderot;93300;48.91659876424493;2.386497305746236;581;291;50.08605851979345955200
0932272P;Collège Rosa Luxembourg;93300;48.91516932561166;2.3756175710181275;400;235;58.75000000000000000000
0931005M;Collège Pierre Curie;93140;48.89208184374728;2.4883438302790157;528;267;50.56818181818181818200
0931612X;Collège Jean Zay;93140;48.91032303970648;2.4803414933480394;523;293;56.02294455066921606100
0931428X;Collège Jean Vigo;93800;48.956551804495234;2.299929228457258;648;306;47.22222222222222222200
0931219V;Collège Jean-Jacques Rousseau;93315;48.883505211122696;2.4005725759641154;539;281;52.13358070500927643800
0931213N;Collège Colonel Fabien;93100;48.875301630454516;2.4533846258154264;416;198;47.59615384615384615400
0932579Y;Collège Césaria Evora;93100;48.8665853173967;2.460121583402077;524;254;48.47328244274809160300
0932333F;Collège François Mitterrand;93160;48.843434114510394;2.5387118197575655;541;255;47.13493530499075785600
0931224A;Collège Pablo Neruda;93380;48.968619682081524;2.366854183789725;671;337;50.22354694485842026800
0931222Y;Collège Pierre-André Houël;93230;48.88345407682914;2.435378334246137;433;235;54.27251732101616628200
0930865K;Collège Jean Lurçat;93200;48.935525375964275;2.3800565480846254;529;256;48.39319470699432892200
0931229F;Collège Fabien;93200;48.94376446522796;2.3526445250657564;593;337;56.82967959527824620600
0931230G;Collège Elsa Triolet;93200;48.939562046093904;2.3488117360493526;507;247;48.71794871794871794900
0932261C;Collège Joséphine Baker;93400;48.906273716715745;2.337342996675949;513;247;48.14814814814814814800
0931149U;Collège Pierre Ronsard;93290;48.95871198079778;2.5672349605234297;832;405;48.67788461538461538500
0932038K;Collège Françoise Dolto;93420;48.95929737802488;2.5494090293205547;537;267;49.72067039106145251400
0941022A;Collège Léon Blum;94140;48.79386024148904;2.425426471420578;617;331;53.64667747163695299800
0941971G;Collège Dulcie September;94114;48.80571341168841;2.3360363626297227;699;347;49.64234620886981402000
0941015T;Collège Willy Ronis;94500;48.81137476429898;2.5155505257714887;520;296;56.92307692307692307700
0940006W;Collège Albert Schweitzer;94000;48.773795233572585;2.463879191379569;569;279;49.03339191564147627400
0940100Y;Collège Plaisance;94000;48.8005440727486;2.4568773355610225;400;193;48.25000000000000000000
0941025D;Collège Georges Politzer;94200;48.80786344286523;2.3927968519947727;567;278;49.02998236331569664900
0941024C;Collège Jules Ferry;94700;48.79246922741321;2.434551245936811;286;127;44.40559440559440559400
0941052H;Collège Fernande Flagon;94460;48.75023862132853;2.463883037993066;472;221;46.82203389830508474600
0940749D;Collège Roland Garros;94190;48.75162969308217;2.451333359665507;543;282;51.93370165745856353600
0940792A;Collège Jules Ferry;94190;48.73208699336739;2.450007650514465;470;238;50.63829787234042553200
0941033M;Collège Jean Perrin;94400;48.79558974328478;2.380065590824601;476;260;54.62184873949579831900
0941224V;Collège François Rabelais;94407;48.781144384273354;2.391605268126692;415;223;53.73493975903614457800
0752536Z;Collège Voltaire;75011;48.86352601850053;2.384525602087465;432;181;41.89814814814814814800
0750429J;Collège Roland Dorgelès;75018;48.888241659335435;2.3478620533569954;385;192;49.87012987012987013000
0752196E;Collège Marx Dormoy;75018;48.88849708458435;2.359696342198929;340;190;55.88235294117647058800
0751706X;Collège Charles Péguy;75019;48.876290341092364;2.3765363330905975;422;218;51.65876777251184834100
0753046D;Collège Flora Tristan;75020;48.858743391511226;2.4046301943144464;476;240;50.42016806722689075600
0911027X;Collège Michel-Richard Delalande;91200;48.71206175285292;2.394841141019621;680;336;49.41176470588235294100
0911570M;Collège Sédar Senghor;91100;48.61869569765931;2.4593365780638576;449;258;57.46102449888641425400
0911402E;Collège de Guinette;91150;48.43646603760289;2.1459514411163925;656;335;51.06707317073170731700
0910021D;Collège Le Village;91035;48.63042860914635;2.445152496048942;639;324;50.70422535211267605600
0911036G;Collège Jean Vilar;91351;48.650900338036756;2.377886647688734;524;301;57.44274809160305343500
0910859P;Collège Gérard Philipe;91300;48.7349919080171;2.2665784385656487;656;384;58.53658536585365853700
0921631Y;Collège Henri Barbusse;92220;48.79607461219818;2.3181524201029045;476;233;48.94957983193277310900
0921242A;Collège Evariste Galois;92340;48.78474200016353;2.3120192206513033;696;363;52.15517241379310344800
0921180H;Collège Thomas Masaryk;92290;48.76400561366347;2.263559943633735;310;158;50.96774193548387096800
0921160L;Collège Jean-Baptiste Clément;92700;48.93189999560393;2.2579731719669542;686;325;47.37609329446064139900
0951697D;Collège Le Moulin à Vent;95800;49.04770944853642;2.016635619754739;652;334;51.22699386503067484700
0950893E;Collège André Chénier;95600;48.99493602872524;2.2886667334872275;603;290;48.09286898839137645100
0951672B;Collège Léonard de Vinci;95610;49.02232748572462;2.1106075125748056;404;187;46.28712871287128712900
0950039B;Collège Le Parc;95310;49.04077077189662;2.110612950522732;480;250;52.08333333333333333300
0950723V;Collège Jean Lurçat;95200;48.97574185893895;2.3790837555276654;781;403;51.60051216389244558300
0781986K;Collège Magellan;78570;48.97065075053517;2.0335754199318608;277;145;52.34657039711191335700
0780116C;Collège Les Plaisances;78200;48.97516323864574;1.7029305276098963;766;393;51.30548302872062663200
0780264N;Collège Les Grands Champs;78300;48.91943566283153;2.0265803546876593;485;253;52.16494845360824742300
9740599H;Collège Joseph Bédier;97440;-20.95738158922722;55.64845081999059;616;316;51.29870129870129870100
9741386N;Collège Chemin Morin;97440;-20.967961128124884;55.64595319235297;725;355;48.96551724137931034500
9740572D;Collège Les Deux Canons;97491;-20.89166339918883;55.47650996498801;848;433;51.06132075471698113200
9740618D;Collège Boris GAMALEYA Les Alizés;97492;-20.899458351893493;55.48545981655612;517;300;58.02707930367504835600
9740734E;Collège François Mahé de la Bourdonnais;97490;-20.88777310526711;55.49644953313609;354;180;50.84745762711864406800
9740044E;Collège Thérésien Cadet;97439;-21.15428174859496;55.825464131559876;384;198;51.56250000000000000000
9741047V;Collège la Marine;97480;-21.37601235908683;55.666539906341406;662;351;53.02114803625377643500
9740093H;Collège Jules Solesse;97411;-20.997222620047513;55.28107881106315;811;472;58.19975339087546239200
9741190A;Collège de Plateau Caillou;97867;-21.021133900516794;55.26730113396791;558;300;53.76344086021505376300
9720052Z;Collège Julia Nicolas;97256;14.605006324249858;-61.06635696326365;250;138;55.20000000000000000000
9720084J;Collège Jacqueline Julius;97234;14.634087618195737;-61.06932310722952;205;112;54.63414634146341463400
9720842H;Collège de Morne des Esses;97230;14.74474961849002;-61.01613034514083;189;85;44.97354497354497354500
9720021R;Collège Belle étoile;97212;14.676934247872456;-61.035970173931496;569;302;53.07557117750439367300
9720446C;Collège Louis Delgrès;97250;14.748124212266207;-61.176969904936946;151;106;70.19867549668874172200
9760379H;Collège de Boueni;97620;-12.923897407828887;45.09097634591245;657;384;58.44748858447488584500
9760119A;Collège de Chiconi;97640;-12.832907262109957;45.12365923691382;905;446;49.28176795580110497200
9760245M;Collège de Dembéni;97660;-12.843618744372092;45.18607944368876;1836;961;52.34204793028322440100
9760369X;Collège de Majicavo;97600;-12.753444067604319;45.22739594336193;1665;890;53.45345345345345345300
9760308F;Collège de Passamaïnty;97600;-12.798448897785606;45.20577099537141;1746;910;52.11912943871706758300
